cve_id,agent_id,status,last_processed_at
CVE-2007-4559,007,ACTIVE,2026-07-28 11:55:48.619+00
CVE-2022-0815,007,ACTIVE,2026-07-28 11:55:48.684+00
CVE-2023-24329,007,ACTIVE,2026-07-28 11:55:48.727+00
CVE-2023-27043,007,ACTIVE,2026-07-28 11:55:48.762+00
CVE-2023-36632,007,ACTIVE,2026-07-28 11:55:48.837+00
CVE-2023-38831,007,ACTIVE,2026-07-28 11:55:48.864+00
CVE-2023-40217,007,ACTIVE,2026-07-28 11:55:48.889+00
CVE-2023-40477,007,ACTIVE,2026-07-28 11:55:48.914+00
CVE-2024-21303,007,ACTIVE,2026-07-28 11:55:48.935+00
CVE-2024-21308,007,ACTIVE,2026-07-28 11:55:48.955+00
CVE-2024-21317,007,ACTIVE,2026-07-28 11:55:48.975+00
CVE-2024-21331,007,ACTIVE,2026-07-28 11:55:48.997+00
CVE-2024-21332,007,ACTIVE,2026-07-28 11:55:49.021+00
CVE-2024-21333,007,ACTIVE,2026-07-28 11:55:49.043+00
CVE-2024-21335,007,ACTIVE,2026-07-28 11:55:49.064+00
CVE-2024-21373,007,ACTIVE,2026-07-28 11:55:49.086+00
CVE-2024-21398,007,ACTIVE,2026-07-28 11:55:49.113+00
CVE-2024-21414,007,ACTIVE,2026-07-28 11:55:49.135+00
CVE-2024-21415,007,ACTIVE,2026-07-28 11:55:49.158+00
CVE-2024-21425,007,ACTIVE,2026-07-28 11:55:49.179+00
CVE-2024-21428,007,ACTIVE,2026-07-28 11:55:49.203+00
CVE-2024-21449,007,ACTIVE,2026-07-28 11:55:49.225+00
CVE-2024-26186,007,ACTIVE,2026-07-28 11:55:49.243+00
CVE-2024-26191,007,ACTIVE,2026-07-28 11:55:49.262+00
CVE-2024-28906,007,ACTIVE,2026-07-28 11:55:49.281+00
CVE-2024-28908,007,ACTIVE,2026-07-28 11:55:49.299+00
CVE-2024-28909,007,ACTIVE,2026-07-28 11:55:49.32+00
CVE-2024-28910,007,ACTIVE,2026-07-28 11:55:49.343+00
CVE-2024-28911,007,ACTIVE,2026-07-28 11:55:49.371+00
CVE-2024-28912,007,ACTIVE,2026-07-28 11:55:49.398+00
CVE-2024-28913,007,ACTIVE,2026-07-28 11:55:49.423+00
CVE-2024-28914,007,ACTIVE,2026-07-28 11:55:49.453+00
CVE-2024-28915,007,ACTIVE,2026-07-28 11:55:49.48+00
CVE-2024-28926,007,ACTIVE,2026-07-28 11:55:49.504+00
CVE-2024-28927,007,ACTIVE,2026-07-28 11:55:49.53+00
CVE-2024-28928,007,ACTIVE,2026-07-28 11:55:49.554+00
CVE-2024-28929,007,ACTIVE,2026-07-28 11:55:49.58+00
CVE-2024-28930,007,ACTIVE,2026-07-28 11:55:49.604+00
CVE-2024-28931,007,ACTIVE,2026-07-28 11:55:49.627+00
CVE-2024-28932,007,ACTIVE,2026-07-28 11:55:49.647+00
CVE-2024-28933,007,ACTIVE,2026-07-28 11:55:49.671+00
CVE-2024-28934,007,ACTIVE,2026-07-28 11:55:49.693+00
CVE-2024-28935,007,ACTIVE,2026-07-28 11:55:49.712+00
CVE-2024-28936,007,ACTIVE,2026-07-28 11:55:49.73+00
CVE-2024-28937,007,ACTIVE,2026-07-28 11:55:49.747+00
CVE-2024-28938,007,ACTIVE,2026-07-28 11:55:49.765+00
CVE-2024-28939,007,ACTIVE,2026-07-28 11:55:49.781+00
CVE-2024-28940,007,ACTIVE,2026-07-28 11:55:49.798+00
CVE-2024-28941,007,ACTIVE,2026-07-28 11:55:49.815+00
CVE-2024-28942,007,ACTIVE,2026-07-28 11:55:49.83+00
CVE-2024-28943,007,ACTIVE,2026-07-28 11:55:49.847+00
CVE-2024-28944,007,ACTIVE,2026-07-28 11:55:49.864+00
CVE-2024-28945,007,ACTIVE,2026-07-28 11:55:49.881+00
CVE-2024-29043,007,ACTIVE,2026-07-28 11:55:49.897+00
CVE-2024-29044,007,ACTIVE,2026-07-28 11:55:49.914+00
CVE-2024-29045,007,ACTIVE,2026-07-28 11:55:49.933+00
CVE-2024-29046,007,ACTIVE,2026-07-28 11:55:49.952+00
CVE-2024-29048,007,ACTIVE,2026-07-28 11:55:49.975+00
CVE-2024-29982,007,ACTIVE,2026-07-28 11:55:49.998+00
CVE-2024-29983,007,ACTIVE,2026-07-28 11:55:50.028+00
CVE-2024-29984,007,ACTIVE,2026-07-28 11:55:50.054+00
CVE-2024-29985,007,ACTIVE,2026-07-28 11:55:50.075+00
CVE-2024-30105,007,ACTIVE,2026-07-28 11:55:50.098+00
CVE-2024-30376,007,ACTIVE,2026-07-28 11:55:50.117+00
CVE-2024-35256,007,ACTIVE,2026-07-28 11:55:50.138+00
CVE-2024-35264,007,ACTIVE,2026-07-28 11:55:50.155+00
CVE-2024-35271,007,ACTIVE,2026-07-28 11:55:50.18+00
CVE-2024-35272,007,ACTIVE,2026-07-28 11:55:50.197+00
CVE-2024-36052,007,ACTIVE,2026-07-28 11:55:50.213+00
CVE-2024-37318,007,ACTIVE,2026-07-28 11:55:50.228+00
CVE-2024-37319,007,ACTIVE,2026-07-28 11:55:50.247+00
CVE-2024-37320,007,ACTIVE,2026-07-28 11:55:50.265+00
CVE-2024-37321,007,ACTIVE,2026-07-28 11:55:50.283+00
CVE-2024-37322,007,ACTIVE,2026-07-28 11:55:50.302+00
CVE-2024-37323,007,ACTIVE,2026-07-28 11:55:50.321+00
CVE-2024-37324,007,ACTIVE,2026-07-28 11:55:50.343+00
CVE-2024-37326,007,ACTIVE,2026-07-28 11:55:50.367+00
CVE-2024-37327,007,ACTIVE,2026-07-28 11:55:50.398+00
CVE-2024-37328,007,ACTIVE,2026-07-28 11:55:50.42+00
CVE-2024-37329,007,ACTIVE,2026-07-28 11:55:50.441+00
CVE-2024-37330,007,ACTIVE,2026-07-28 11:55:50.476+00
CVE-2024-37331,007,ACTIVE,2026-07-28 11:55:50.516+00
CVE-2024-37332,007,ACTIVE,2026-07-28 11:55:50.55+00
CVE-2024-37333,007,ACTIVE,2026-07-28 11:55:50.597+00
CVE-2024-37334,007,ACTIVE,2026-07-28 11:55:50.782+00
CVE-2024-37335,007,ACTIVE,2026-07-28 11:55:50.835+00
CVE-2024-37336,007,ACTIVE,2026-07-28 11:55:50.876+00
CVE-2024-37337,007,ACTIVE,2026-07-28 11:55:50.907+00
CVE-2024-37338,007,ACTIVE,2026-07-28 11:55:50.934+00
CVE-2024-37339,007,ACTIVE,2026-07-28 11:55:50.965+00
CVE-2024-37340,007,ACTIVE,2026-07-28 11:55:50.988+00
CVE-2024-37341,007,ACTIVE,2026-07-28 11:55:51.021+00
CVE-2024-37342,007,ACTIVE,2026-07-28 11:55:51.057+00
CVE-2024-37965,007,ACTIVE,2026-07-28 11:55:51.094+00
CVE-2024-37966,007,ACTIVE,2026-07-28 11:55:51.122+00
CVE-2024-37980,007,ACTIVE,2026-07-28 11:55:51.151+00
CVE-2024-38087,007,ACTIVE,2026-07-28 11:55:51.178+00
CVE-2024-38088,007,ACTIVE,2026-07-28 11:55:51.205+00
CVE-2024-38095,007,ACTIVE,2026-07-28 11:55:51.233+00
CVE-2024-38167,007,ACTIVE,2026-07-28 11:55:51.258+00
CVE-2024-38168,007,ACTIVE,2026-07-28 11:55:51.281+00
CVE-2024-38229,007,ACTIVE,2026-07-28 11:55:51.307+00
CVE-2024-43483,007,ACTIVE,2026-07-28 11:55:51.335+00
CVE-2024-43484,007,ACTIVE,2026-07-28 11:55:51.364+00
CVE-2024-43485,007,ACTIVE,2026-07-28 11:55:51.386+00
CVE-2024-43498,007,ACTIVE,2026-07-28 11:55:51.416+00
CVE-2024-43499,007,ACTIVE,2026-07-28 11:55:51.442+00
CVE-2024-43603,007,ACTIVE,2026-07-28 11:55:51.475+00
CVE-2024-49021,007,ACTIVE,2026-07-28 11:55:51.499+00
CVE-2024-49043,007,ACTIVE,2026-07-28 11:55:51.531+00
CVE-2024-49044,007,ACTIVE,2026-07-28 11:55:51.563+00
CVE-2024-6232,007,ACTIVE,2026-07-28 11:55:51.595+00
CVE-2024-7592,007,ACTIVE,2026-07-28 11:55:51.648+00
CVE-2024-9287,007,ACTIVE,2026-07-28 11:55:51.751+00
CVE-2025-12084,007,ACTIVE,2026-07-28 11:55:51.776+00
CVE-2025-12084,007,ACTIVE,2026-07-27 18:09:42.171+00
CVE-2025-12781,007,ACTIVE,2026-07-27 18:09:42.171+00
CVE-2025-12781,007,ACTIVE,2026-07-28 11:55:51.799+00
CVE-2025-13462,007,ACTIVE,2026-07-27 18:09:42.171+00
CVE-2025-13462,007,ACTIVE,2026-07-28 11:55:51.867+00
CVE-2025-13836,007,ACTIVE,2026-07-27 18:09:42.171+00
CVE-2025-13836,007,ACTIVE,2026-07-28 11:55:51.896+00
CVE-2025-13837,007,ACTIVE,2026-07-27 17:54:49.749+00
CVE-2025-13837,007,ACTIVE,2026-07-28 11:55:51.919+00
CVE-2025-21171,007,ACTIVE,2026-07-28 11:55:51.942+00
CVE-2025-21172,007,ACTIVE,2026-07-28 11:55:51.966+00
CVE-2025-21173,007,ACTIVE,2026-07-28 11:55:51.994+00
CVE-2025-21178,007,ACTIVE,2026-07-28 11:55:52.028+00
CVE-2025-21206,007,ACTIVE,2026-07-28 11:55:52.059+00
CVE-2025-24070,007,ACTIVE,2026-07-27 17:54:49.749+00
CVE-2025-24070,007,ACTIVE,2026-07-27 18:09:42.171+00
CVE-2025-24070,007,ACTIVE,2026-07-28 11:55:52.088+00
CVE-2025-24998,007,ACTIVE,2026-07-28 11:55:52.116+00
CVE-2025-24999,007,ACTIVE,2026-07-28 11:55:52.144+00
CVE-2025-25003,007,ACTIVE,2026-07-28 11:55:52.176+00
CVE-2025-26646,007,ACTIVE,2026-07-28 11:55:52.21+00
CVE-2025-26682,007,ACTIVE,2026-07-27 18:09:42.171+00
CVE-2025-26682,007,ACTIVE,2026-07-28 11:55:52.239+00
CVE-2025-26682,007,ACTIVE,2026-07-27 18:09:42.171+00
CVE-2025-29802,007,ACTIVE,2026-07-28 11:55:52.267+00
